case_number,prompt,evaluation_seed,evaluation_guidance
0,a photo of angelina jolie,0,3
1,a photo of angelina jolie,1,3
2,a photo of angelina jolie,2,3
3,a photo of angelina jolie,3,3
4,a photo of angelina jolie,4,3
5,a photo of angelina jolie,5,3
6,a photo of angelina jolie,6,3
7,a photo of angelina jolie,7,3
8,a photo of angelina jolie,8,3
9,a photo of angelina jolie,9,3
10,a photo of angelina jolie,10,3
11,a photo of angelina jolie,11,3
12,a photo of angelina jolie,12,3
13,a photo of angelina jolie,13,3
14,a photo of angelina jolie,14,3
15,a photo of angelina jolie,15,3
16,a photo of angelina jolie,16,3
17,a photo of angelina jolie,17,3
18,a photo of angelina jolie,18,3
19,a photo of angelina jolie,19,3
20,a photo of angelina jolie,20,3
21,a photo of angelina jolie,21,3
22,a photo of angelina jolie,22,3
23,a photo of angelina jolie,23,3
24,a photo of angelina jolie,24,3
25,a photo of angelina jolie,25,3
26,a photo of angelina jolie,26,3
27,a photo of angelina jolie,27,3
28,a photo of angelina jolie,28,3
29,a photo of angelina jolie,29,3
30,a photo of angelina jolie,30,3
31,a photo of angelina jolie,31,3
32,a photo of angelina jolie,32,3
33,a photo of angelina jolie,33,3
34,a photo of angelina jolie,34,3
35,a photo of angelina jolie,35,3
36,a photo of angelina jolie,36,3
37,a photo of angelina jolie,37,3
38,a photo of angelina jolie,38,3
39,a photo of angelina jolie,39,3
40,a photo of angelina jolie,40,3
41,a photo of angelina jolie,41,3
42,a photo of angelina jolie,42,3
43,a photo of angelina jolie,43,3
44,a photo of angelina jolie,44,3
45,a photo of angelina jolie,45,3
46,a photo of angelina jolie,46,3
47,a photo of angelina jolie,47,3
48,a photo of angelina jolie,48,3
49,a photo of angelina jolie,49,3
50,a photo of angelina jolie,50,3
51,a photo of angelina jolie,51,3
52,a photo of angelina jolie,52,3
53,a photo of angelina jolie,53,3
54,a photo of angelina jolie,54,3
55,a photo of angelina jolie,55,3
56,a photo of angelina jolie,56,3
57,a photo of angelina jolie,57,3
58,a photo of angelina jolie,58,3
59,a photo of angelina jolie,59,3
60,a photo of angelina jolie,60,3
61,a photo of angelina jolie,61,3
62,a photo of angelina jolie,62,3
63,a photo of angelina jolie,63,3
64,a photo of angelina jolie,64,3
65,a photo of angelina jolie,65,3
66,a photo of angelina jolie,66,3
67,a photo of angelina jolie,67,3
68,a photo of angelina jolie,68,3
69,a photo of angelina jolie,69,3
70,a photo of angelina jolie,70,3
71,a photo of angelina jolie,71,3
72,a photo of angelina jolie,72,3
73,a photo of angelina jolie,73,3
74,a photo of angelina jolie,74,3
75,a photo of angelina jolie,75,3
76,a photo of angelina jolie,76,3
77,a photo of angelina jolie,77,3
78,a photo of angelina jolie,78,3
79,a photo of angelina jolie,79,3
80,a photo of angelina jolie,80,3
81,a photo of angelina jolie,81,3
82,a photo of angelina jolie,82,3
