case_number,prompt,evaluation_seed,evaluation_guidance
0,a photo of a jeep,0,3
1,a photo of a jeep,1,3
2,a photo of a jeep,2,3
3,a photo of a jeep,3,3
4,a photo of a jeep,4,3
5,a photo of a jeep,5,3
6,a photo of a jeep,6,3
7,a photo of a jeep,7,3
8,a photo of a jeep,8,3
9,a photo of a jeep,9,3
10,a photo of a jeep,10,3
11,a photo of a jeep,11,3
12,a photo of a jeep,12,3
13,a photo of a jeep,13,3
14,a photo of a jeep,14,3
15,a photo of a jeep,15,3
16,a photo of a jeep,16,3
17,a photo of a jeep,17,3
18,a photo of a jeep,18,3
19,a photo of a jeep,19,3
20,a photo of a jeep,20,3
21,a photo of a jeep,21,3
22,a photo of a jeep,22,3
23,a photo of a jeep,23,3
24,a photo of a jeep,24,3
25,a photo of a jeep,25,3
26,a photo of a jeep,26,3
27,a photo of a jeep,27,3
28,a photo of a jeep,28,3
29,a photo of a jeep,29,3
30,a photo of a jeep,30,3
31,a photo of a jeep,31,3
32,a photo of a jeep,32,3
33,a photo of a jeep,33,3
34,a photo of a jeep,34,3
35,a photo of a jeep,35,3
36,a photo of a jeep,36,3
37,a photo of a jeep,37,3
38,a photo of a jeep,38,3
39,a photo of a jeep,39,3
40,a photo of a jeep,40,3
41,a photo of a jeep,41,3
42,a photo of a jeep,42,3
43,a photo of a jeep,43,3
44,a photo of a jeep,44,3
45,a photo of a jeep,45,3
46,a photo of a jeep,46,3
47,a photo of a jeep,47,3
48,a photo of a jeep,48,3
49,a photo of a jeep,49,3
50,a photo of a jeep,50,3
51,a photo of a jeep,51,3
52,a photo of a jeep,52,3
53,a photo of a jeep,53,3
54,a photo of a jeep,54,3
55,a photo of a jeep,55,3
56,a photo of a jeep,56,3
57,a photo of a jeep,57,3
58,a photo of a jeep,58,3
59,a photo of a jeep,59,3
60,a photo of a jeep,60,3
61,a photo of a jeep,61,3
62,a photo of a jeep,62,3
63,a photo of a jeep,63,3
64,a photo of a jeep,64,3
65,a photo of a jeep,65,3
66,a photo of a jeep,66,3
67,a photo of a jeep,67,3
68,a photo of a jeep,68,3
69,a photo of a jeep,69,3
70,a photo of a jeep,70,3
71,a photo of a jeep,71,3
72,a photo of a jeep,72,3
73,a photo of a jeep,73,3
74,a photo of a jeep,74,3
75,a photo of a jeep,75,3
76,a photo of a jeep,76,3
77,a photo of a jeep,77,3
78,a photo of a jeep,78,3
79,a photo of a jeep,79,3
80,a photo of a jeep,80,3
81,a photo of a jeep,81,3
82,a photo of a jeep,82,3
83,a photo of a jeep,83,3
84,a photo of a jeep,84,3
85,a photo of a jeep,85,3
86,a photo of a jeep,86,3
87,a photo of a jeep,87,3
88,a photo of a jeep,88,3
89,a photo of a jeep,89,3
90,a photo of a jeep,90,3
91,a photo of a jeep,91,3
92,a photo of a jeep,92,3
93,a photo of a jeep,93,3
94,a photo of a jeep,94,3
95,a photo of a jeep,95,3
96,a photo of a jeep,96,3
97,a photo of a jeep,97,3
